item,list,exp,integrated,related,n2num,text,animacy,LengthChar-Head,LengthChar-Prep,LengthChar-Adj,LengthChar-Noun,LengthPhon-Head,LengthPhon-Prep,LengthPhon-Adj,LengthPhon-Noun,LengthSylHead,LengthSyll-Prep,LengthSyll-Adj,LengthSyll-Noun,Freq1Mil-Head,FreqMil-Prep,FreqMil-Adj,FreqMil-N1,LogFr-Head,LogFreq-Prep,LogFreq-Adj,LogFreq-N1,RelatedHL,RelatedLH,Integrated,Plausibility,errnd,errd,errcornd,errcord
13,3,Cat,unint,rel,plur,The butterfly by the lively hornets,A,9,2,6,7,9,3,6,7,3,1,2,2,4.94,1212.84,4.06,0.49,0.77,3.08,0.7,0.17,4.58,4.58,2.75,4.71,0,0,11,12
13,1,Cat,unint,unrel,plur,The butterfly by the lively hamsters,A,9,2,6,8,9,3,6,8,3,1,2,2,4.94,1212.84,4.06,0.39,0.77,3.08,0.7,0.14,2.33,2.75,2.42,3.71,2,2,13,13
14,3,Cat,unint,rel,plur,The tent near the spooky cabins,I,4,4,6,6,4,3,5,6,1,1,2,2,17.39,59.14,4.71,0.96,1.26,1.78,0.76,0.29,5.42,5,3.58,5.58,0,0,21,21
14,1,Cat,unint,unrel,plur,The tent near the spooky caverns,I,4,4,6,7,4,3,5,7,1,1,2,2,17.39,59.14,4.71,0.27,1.26,1.78,0.76,0.11,2.33,2.33,2.67,4.83,0,0,22,23
15,3,Cat,unint,rel,plur,The spatula by the greasy strainers,I,7,2,6,9,8,3,5,8,3,1,2,2,0.71,1212.84,3.88,0,0.23,3.08,0.69,0,4.25,3.92,2.92,5.71,3,3,17,19
15,1,Cat,unint,unrel,plur,The spatula by the greasy sandwiches,I,7,2,6,10,8,3,5,10,3,1,2,3,0.71,1212.84,3.88,9.61,0.23,3.08,0.69,1.03,2.75,2.67,3.67,5.96,2,2,22,22
16,3,Cat,unint,rel,plur,The kiwi beside the fake peaches,I,4,6,4,7,4,6,3,6,2,2,1,2,0.76,14.96,29.22,4.02,0.25,1.2,1.48,0.7,4.42,4.75,2.67,4.57,2,3,17,19
16,1,Cat,unint,unrel,plur,The kiwi beside the fake plants,I,4,6,4,6,4,6,3,6,2,2,1,1,0.76,14.96,29.22,9.39,0.25,1.2,1.48,1.02,3.58,2.83,2.17,3.88,0,0,14,15
17,3,Cat,unint,rel,plur,The motorcycle near the painted buses,I,10,4,7,5,11,3,6,5,4,1,2,2,8.63,59.14,1.45,3.9,0.98,1.78,0.39,0.69,4.5,4.08,2.58,5.38,2,2,17,20
17,1,Cat,unint,unrel,plur,The motorcycle near the painted benches,I,10,4,7,7,11,3,6,7,4,1,2,2,8.63,59.14,1.45,0.59,0.98,1.78,0.39,0.2,1.33,1.5,2.17,5.63,2,2,15,17
18,3,Cat,unint,rel,plur,The dorm near the new condos,I,4,4,3,6,4,3,2,6,1,1,1,3,6.84,59.14,555.43,1.12,0.89,1.78,2.75,0.33,4.67,3.17,3.33,5.79,4,4,23,23
18,1,Cat,unint,unrel,plur,The dorm near the new cafes,I,4,4,3,5,4,3,2,5,1,1,1,2,6.84,59.14,555.43,0.31,0.89,1.78,2.75,0.12,2.08,2.17,3.08,5.88,9,9,28,28
19,4,Cat,unint,rel,plur,The drill by the durable hammers,I,5,2,7,7,4,3,7,6,1,1,3,2,9.94,1212.84,0.35,1.25,1.04,3.08,0.13,0.35,5,5,3.08,5.78,0,0,21,25
19,2,Cat,unint,unrel,plur,The drill by the durable handbags,I,5,2,7,8,4,3,7,8,1,1,3,2,9.94,1212.84,0.35,0.88,1.04,3.08,0.13,0.27,1.67,1.08,2.08,3.13,0,0,19,20
20,4,Cat,unint,rel,plur,The saxophone beside the ornate pianos,I,9,6,6,6,8,6,5,6,3,2,2,3,1.69,14.96,0.2,0.78,0.43,1.2,0.08,0.25,5.42,4.83,3.83,5.67,0,0,8,10
20,2,Cat,unint,unrel,plur,The saxophone beside the ornate pillars,I,9,6,6,7,8,6,5,6,3,2,2,2,1.69,14.96,0.2,0.94,0.43,1.2,0.08,0.29,1.67,1.42,2.58,3.79,0,0,11,12
21,4,Cat,unint,rel,plur,The futon near the dirty recliners,I,5,4,5,9,5,3,5,10,2,1,2,3,0.67,59.14,58.76,0.04,0.22,1.78,1.78,0.02,4.42,5.42,3,5.42,1,1,20,22
21,2,Cat,unint,unrel,plur,The futon near the dirty radiators,I,5,4,5,9,5,3,5,9,2,1,2,3,0.67,59.14,58.76,0.22,0.22,1.78,1.78,0.08,1.83,2.42,2.09,4.54,0,0,20,21
22,4,Cat,unint,rel,plur,The monk near the talkative cardinals,A,4,4,9,9,4,3,7,9,1,1,3,3,4.76,59.14,0.9,0.61,0.76,1.78,0.28,0.21,2.75,4.5,2.09,4.75,0,0,16,18
22,2,Cat,unint,unrel,plur,The monk near the talkative carpenters,A,4,4,9,10,4,3,7,10,1,1,3,3,4.76,59.14,0.9,0.69,0.76,1.78,0.28,0.23,2.25,1.92,2,4.13,0,0,6,7
23,4,Cat,unint,rel,plur,The saw by the oily wrenches,I,3,2,4,8,2,3,4,7,1,1,2,2,6.92,1212.84,0.94,0.25,0.9,3.08,0.29,0.1,4.83,4.25,3.17,5.5,0,0,20,23
23,2,Cat,unint,unrel,plur,The saw by the oily rags,I,3,2,4,4,2,3,4,4,1,1,2,1,6.92,1212.84,0.94,3.16,0.9,3.08,0.29,0.62,1.25,1.5,2.58,5.29,0,0,16,18
24,4,Cat,unint,rel,plur,The van near the dented taxis,I,3,4,6,5,3,3,6,6,1,1,2,2,29,59.14,0.18,0.86,1.48,1.78,0.07,0.27,4.17,4.67,3.67,5.39,0,0,22,25
24,2,Cat,unint,unrel,plur,The van near the dented trailers,I,3,4,6,8,3,3,6,7,1,1,2,2,29,59.14,0.18,0.55,1.48,1.78,0.07,0.19,3.92,3.42,2.92,5.92,0,0,22,23
25,1,Prop,unint,assoc,plur,The blueprint near the model buildings,I,9,5,5,9,8,4,5,7,2,1,2,2,1.24,59.14,29.98,9.98,0.35,1.78,1.49,1.04,5.25,4.42,4.42,5.06,5,5,15,15
25,5,Prop,unint,rel,plur,The blueprint near the modern drawings,I,9,5,6,8,8,4,6,6,2,1,2,2,1.24,59.14,18.2,4.55,0.35,1.78,1.28,0.74,5.64,5.43,4.13,5.94,1,1,13,13
25,3,Prop,unint,unrel,plur,The blueprint near the metal rulers,I,9,5,6,6,8,4,6,6,2,1,2,2,1.24,59.14,19.31,0.53,0.35,1.78,1.31,0.18,5.67,4.33,3.92,5.63,0,0,13,13
26,1,Prop,unint,assoc,plur,The bike beside the greasy racks,I,4,6,6,5,4,6,5,4,1,2,2,1,25.63,14.96,3.88,0.86,1.43,1.2,0.69,0.27,5.08,4.25,5,5.06,0,0,7,7
26,5,Prop,unint,rel,plur,The bike beside the greasy tires,I,4,6,6,5,4,6,5,6,1,2,2,2,25.63,14.96,3.88,2.67,1.43,1.2,0.69,0.56,5.67,5.97,4.17,4.75,0,0,10,10
26,3,Prop,unint,unrel,plur,The bike beside the greasy towels,I,4,6,6,6,4,6,5,6,1,2,2,2,25.63,14.96,3.88,9.33,1.43,1.2,0.69,1.01,1,1.58,3.18,4,0,0,13,13
27,1,Prop,unint,assoc,plur,The fort near the ancient caves,I,4,4,7,4,4,3,7,3,1,1,2,1,6.61,59.14,21.61,13.49,0.88,1.78,1.35,1.16,2.58,2.75,3,5.47,3,3,19,19
27,5,Prop,unint,rel,plur,The fort near the ancient walls,I,4,4,7,5,4,3,7,4,1,1,2,1,6.61,59.14,21.61,24.16,0.88,1.78,1.35,1.4,5.21,4.88,4.04,5.94,1,1,14,14
27,3,Prop,unint,unrel,plur,The fort near the ancient cliffs,I,4,4,7,6,4,3,7,5,1,1,2,1,6.61,59.14,21.61,2.16,0.88,1.78,1.35,0.5,1.92,2.58,3.42,4.69,0,0,17,17
28,1,Prop,unint,assoc,plur,The jar near the sticky cookies,I,3,4,6,7,4,3,5,5,1,1,2,2,8.25,59.14,5.73,17.88,0.97,1.78,0.83,1.28,4.83,5.42,4.58,5.13,3,3,17,18
28,5,Prop,unint,rel,plur,The jar near the sticky lids,I,3,4,6,4,4,3,5,4,1,1,2,1,8.25,59.14,5.73,0.61,0.97,1.78,0.83,0.21,5.88,5.68,4.63,5.44,0,0,16,16
28,3,Prop,unint,unrel,plur,The jar near the stale bagels,I,3,4,5,6,4,3,4,6,1,1,1,2,8.25,59.14,2.92,1.88,0.97,1.78,0.59,0.46,2.5,1.92,2.42,6.25,0,0,12,14
29,2,Prop,unint,assoc,plur,The sink near the broken dishes,I,4,4,6,6,4,3,6,5,1,1,2,2,8.59,59.14,27.1,11.8,0.98,1.78,1.45,1.11,5,5.33,4,5.13,0,0,16,18
29,6,Prop,unint,rel,plur,The sink near the broken faucets,I,4,4,6,7,4,3,6,6,1,1,2,2,8.59,59.14,27.1,0.24,0.98,1.78,1.45,0.09,6.17,6.58,4.74,4.38,1,1,15,15
29,4,Prop,unint,unrel,plur,The sink near the broken tiles,I,4,4,6,5,4,3,6,5,1,1,2,1,8.59,59.14,27.1,1.65,0.98,1.78,1.45,0.42,4.83,3.83,3.25,4.75,0,0,17,18
30,2,Prop,unint,assoc,plur,The window near the shaggy curtains,I,6,5,6,8,5,4,4,7,2,1,2,2,85.84,59.14,0.71,6.25,1.94,1.78,0.23,0.86,5.75,4.92,4.83,5.38,0,0,14,17
30,6,Prop,unint,rel,plur,The window near the shattered panes,I,6,5,9,5,5,4,6,4,2,1,2,1,85.84,59.14,1.39,0.06,1.94,1.78,0.38,0.02,5.79,6.25,4.96,4.63,0,0,12,13
30,4,Prop,unint,unrel,plur,The window near the stylish paintings,I,6,5,7,9,5,4,7,7,2,1,2,2,85.84,59.14,2.14,11.27,1.94,1.78,0.5,1.09,3.25,2.42,2.75,5.13,0,0,18,19
31,2,Prop,unint,assoc,plur,The rifle beside the expensive targets,I,5,6,9,7,6,6,9,7,2,2,3,2,14.45,14.96,27.92,6.65,1.19,1.2,1.46,0.88,4.75,4.92,4.75,5.56,1,1,11,13
31,6,Prop,unint,rel,plur,The rifle beside the expensive triggers,I,5,6,9,8,6,6,9,7,2,2,3,2,14.45,14.96,27.92,0.61,1.19,1.2,1.46,0.21,5.67,5.71,4.25,4.13,0,0,5,7
31,4,Prop,unint,unrel,plur,The rifle beside the expensive trophies,I,5,6,9,8,6,6,9,6,2,2,3,2,14.45,14.96,27.92,2.29,1.19,1.2,1.46,0.52,3.17,2.42,3.25,5.63,0,0,11,13
32,2,Prop,unint,assoc,plur,The banana near the melted sundaes,I,6,5,6,7,6,4,6,6,3,1,2,2,10.61,59.14,0.8,0.53,1.06,1.78,0.26,0.18,4,4.75,3.5,4.8,2,2,14,15
32,6,Prop,unint,rel,plur,The banana near the messy peels,I,6,5,5,5,6,4,4,4,3,1,2,1,10.61,59.14,6.86,0.35,1.06,1.78,0.9,0.13,6.29,5.96,4.8,5.69,2,2,19,19
32,4,Prop,unint,unrel,plur,The banana near the healthy drinks,I,6,5,8,6,6,4,5,6,3,1,2,1,10.61,59.14,24.71,29.37,1.06,1.78,1.41,1.48,2.75,2.83,4,5.94,0,0,17,17
33,3,Prop,unint,assoc,plur,The car by the wide roads,I,3,2,4,5,3,3,4,4,1,1,1,1,482.41,1212.84,15.1,9.06,2.68,3.08,1.21,1,5.67,5.67,4,5.06,0,0,13,14
33,1,Prop,unint,rel,plur,The car by the white bumpers,I,3,2,5,7,3,3,4,7,1,1,1,2,482.41,1212.84,140.88,0.31,2.68,3.08,2.15,0.12,6.24,6.14,4.08,3.94,1,1,15,17
33,5,Prop,unint,unrel,plur,The car by the wide ramps,I,3,2,4,5,3,3,4,5,1,1,1,1,482.41,1212.84,15.1,0.41,2.68,3.08,1.21,0.15,5.25,4.33,3.42,5.44,0,0,10,10
34,3,Prop,unint,assoc,plur,The dresser by the heavy mirrors,I,7,2,5,7,6,3,4,6,2,1,2,2,3.51,1212.84,47.04,4.61,0.65,3.08,1.68,0.75,4.67,3.67,4.25,5.94,1,1,12,13
34,1,Prop,unint,rel,plur,The dresser by the heavy drawers,I,7,2,5,7,6,3,4,5,2,1,2,1,3.51,1212.84,47.04,4.27,0.65,3.08,1.68,0.72,6.54,6.29,5.08,4.63,2,2,14,14
34,5,Prop,unint,unrel,plur,The dresser by the heavy rugs,I,7,2,5,4,6,3,4,4,2,1,2,1,3.51,1212.84,47.04,1.24,0.65,3.08,1.68,0.35,3.75,4.17,2.83,5,0,0,16,18
35,3,Prop,unint,assoc,plur,The atlas by the detailed globes,I,5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,5.56,2,2,8,10
35,1,Prop,unint,rel,plur,The atlas by the detailed maps,I,5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,5.88,0,1,8,9
35,5,Prop,unint,unrel,plur,The atlas by the detailed journals,I,5,2,8,8,5,3,6,8,2,1,2,2,0.96,1212.84,0.67,6.49,0.29,3.08,0.22,0.87,3.67,3.67,3.5,5.75,1,1,12,12
36,3,Prop,unint,assoc,plur,The chain by the flimsy saws,I,5,2,6,4,4,3,6,3,1,1,2,1,20,1212.84,0.75,0.35,1.32,3.08,0.24,0.13,4.08,4.25,3.75,4.69,1,1,10,13
36,1,Prop,unint,rel,plur,The chain by the flimsy links,I,5,2,6,5,4,3,6,5,1,1,2,1,20,1212.84,0.75,1.8,1.32,3.08,0.24,0.45,5.71,6.5,4.47,3.44,1,2,10,13
36,5,Prop,unint,unrel,plur,The chain by the flimsy signs,I,5,2,6,5,4,3,6,5,1,1,2,1,20,1212.84,0.75,19.82,1.32,3.08,0.24,1.32,1.92,1.75,2.33,4.8,1,1,10,11
37,4,Prop,unint,assoc,plur,The hose near the yellow hydrants,I,4,4,6,8,3,3,4,9,1,1,2,2,7.45,59.14,31.41,0.12,0.93,1.78,1.51,0.05,4.67,5.33,5,5.44,0,0,8,8
37,2,Prop,unint,rel,plur,The hose near the yellow nozzles,I,4,4,6,7,3,3,4,6,1,1,2,2,7.45,59.14,31.41,0.25,0.93,1.78,1.51,0.1,5.42,5.96,4.33,4.56,1,1,5,5
37,6,Prop,unint,unrel,plur,The hose near the yellow helmets,I,4,4,6,7,3,3,4,7,1,1,2,2,7.45,59.14,31.41,2.02,0.93,1.78,1.51,0.48,1.33,2.17,3.25,4.5,0,0,13,14
38,4,Prop,unint,assoc,plur,The table by the rebuilt patios,I,5,3,7,6,5,4,6,6,2,1,2,3,105.2,1212.84,0.14,0,2.03,3.08,0.06,0,4.17,4.58,3.5,5.44,0,1,12,14
38,2,Prop,unint,rel,plur,The table by the rebuilt legs,I,5,3,7,4,5,4,6,4,2,1,2,1,105.2,1212.84,0.14,55.43,2.03,3.08,0.06,1.75,5.04,5.71,4.71,4.44,1,1,11,14
38,6,Prop,unint,unrel,plur,The table by the rusty barrels,I,5,3,5,7,5,4,5,6,2,1,2,2,105.2,1212.84,4.45,2.75,2.03,3.08,0.74,0.57,2.25,2.33,2.17,4.69,1,1,16,19
39,4,Prop,unint,assoc,plur,The tree near the closed forts,I,4,4,6,5,3,3,5,5,1,1,1,1,64.12,59.14,7.59,0.39,1.81,1.78,0.93,0.14,3.25,4.08,2.92,5.31,2,3,13,15
39,2,Prop,unint,rel,plur,The tree near the cut limbs,I,4,4,3,5,3,3,3,4,1,1,1,1,64.12,59.14,0.49,2.59,1.81,1.78,0.17,0.55,5.79,6.04,4.46,5.69,1,2,12,16
39,6,Prop,unint,unrel,plur,The tree near the closed gates,I,4,4,6,5,3,3,5,4,1,1,1,1,64.12,59.14,7.59,9.27,1.81,1.78,0.93,1.01,2.42,2,2.67,5.25,0,0,13,13
40,4,Prop,unint,assoc,plur,The book beside the tall shelves,I,4,6,4,7,3,6,3,5,1,2,1,1,171.55,14.96,32.25,2.71,2.24,1.2,1.52,0.57,5.08,5.17,4.42,5.06,1,1,16,17
40,2,Prop,unint,rel,plur,The book beside the torn pages,I,4,6,4,5,3,6,4,6,1,2,1,1,171.55,14.96,1.45,13.53,2.24,1.2,0.39,1.16,6.54,6.54,4.83,4.5,0,0,16,17
40,6,Prop,unint,unrel,plur,The book beside the tall stacks,I,4,6,4,6,3,6,3,5,1,2,1,1,171.55,14.96,32.25,1.82,2.24,1.2,1.52,0.45,5.25,4.08,4.17,4.63,1,1,16,16
41,5,Prop,unint,assoc,plur,The couch by the thin televisions,I,5,2,4,11,5,3,3,10,1,1,1,4,23.22,1212.84,18.51,0.31,1.38,3.08,1.29,0.12,3.42,3.92,3.08,5,0,0,15,16
41,3,Prop,unint,rel,plur,The couch by the thin cushions,I,5,2,4,8,5,3,3,6,1,1,1,2,23.22,1212.84,18.51,1.16,1.38,3.08,1.29,0.33,6.13,5.33,4.25,4.94,0,0,18,18
41,1,Prop,unint,unrel,plur,The couch by the big treadmills,I,5,2,3,10,5,3,3,8,1,1,1,2,23.22,1212.84,680.06,0.06,1.38,3.08,2.83,0.02,1.67,2.42,2.64,5.44,0,0,15,16
42,5,Prop,unint,assoc,plur,The sneaker beside the pink socks,I,7,6,4,5,6,6,4,4,2,2,1,1,0.67,14.96,26.96,18.25,0.22,1.2,1.45,1.28,5.67,6,4.67,5.88,3,4,14,16
42,3,Prop,unint,rel,plur,The sneaker beside the pink shoelaces,I,7,6,4,9,6,6,4,7,2,2,1,3,0.67,14.96,26.96,1,0.22,1.2,1.45,0.3,6.17,6,4.96,5.81,2,2,7,8
42,1,Prop,unint,unrel,plur,The sneaker beside the pink skis,I,7,6,4,4,6,6,4,4,2,2,1,1,0.67,14.96,26.96,1.29,0.22,1.2,1.45,0.36,2.92,3.42,3.25,5.25,1,1,9,10
43,5,Prop,unint,assoc,plur,The pencil by the colorful sharpeners,I,6,2,8,10,6,3,8,9,2,1,3,3,9.67,1212.84,3.14,0.04,1.03,3.08,0.62,0.02,5.75,4.92,4.58,5.8,2,2,14,17
43,3,Prop,unint,rel,plur,The pencil by the colorful erasers,I,6,2,8,7,6,3,8,7,2,1,3,2,9.67,1212.84,3.14,0.33,1.03,3.08,0.62,0.12,6.33,6.46,4.38,6,0,0,14,15
43,1,Prop,unint,unrel,plur,The pencil by the colorful staplers,I,6,2,8,8,6,3,8,9,2,1,3,2,9.67,1212.84,3.14,0.04,1.03,3.08,0.62,0.02,4.92,5,2.83,4.56,2,2,13,13
44,5,Prop,unint,assoc,plur,The backpack on the frayed books,I,8,2,6,5,6,2,4,4,2,1,1,1,3.63,4424.29,0.45,67.53,0.67,3.65,0.16,1.84,5.33,4.67,5.18,3.94,0,0,11,12
44,3,Prop,unint,rel,plur,The backpack on the frayed straps,I,8,2,6,6,6,2,4,6,2,1,1,1,3.63,4424.29,0.45,1.24,0.67,3.65,0.16,0.35,5.63,5.42,5.04,3.81,0,0,7,8
44,1,Prop,unint,unrel,plur,The backpack on the folded quilts,I,8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,4.19,0,0,15,15
45,6,Prop,unint,assoc,plur,The skeleton near the locked closets,I,8,4,6,7,8,3,4,7,3,1,1,2,4.33,59.14,3.98,2.14,0.73,1.78,0.7,0.5,2.83,2.75,3.42,3.5,0,1,14,15
45,4,Prop,unint,rel,plur,The skeleton near the large bones,I,8,4,5,5,8,3,5,4,3,1,1,1,4.33,59.14,38.49,30.29,0.73,1.78,1.6,1.5,6.83,6.88,4.66,5.19,0,0,15,16
45,2,Prop,unint,unrel,plur,The skeleton near the locked classrooms,I,8,4,6,10,8,3,4,8,3,1,1,2,4.33,59.14,3.98,0.59,0.73,1.78,0.7,0.2,2.36,3,2.58,3.5,0,0,17,17
46,6,Prop,unint,assoc,plur,The lamp beside the cheap desks,I,4,6,5,5,4,6,4,5,1,2,1,1,12.82,14.96,36.02,1.02,1.14,1.2,1.57,0.31,4.5,5.08,4.67,5.5,0,0,10,10
46,4,Prop,unint,rel,plur,The lamp beside the cheap bulbs,I,4,6,5,5,4,6,4,5,1,2,1,1,12.82,14.96,36.02,1.71,1.14,1.2,1.57,0.43,6.25,6.08,5.19,4.63,0,0,14,14
46,2,Prop,unint,unrel,plur,The lamp beside the cheap dolls,I,4,6,5,5,4,6,4,4,1,2,1,1,12.82,14.96,36.02,5.65,1.14,1.2,1.57,0.82,1.17,1.5,2.5,6,0,0,19,20
47,6,Prop,unint,assoc,plur,The canoe by the weathered camps,I,5,2,9,5,4,3,6,5,2,1,2,1,3.53,1212.84,0.18,3.76,0.66,3.08,0.07,0.68,3.67,3.67,3.67,5.63,2,2,13,13
47,4,Prop,unint,rel,plur,The canoe by the weathered oars,I,5,2,9,4,4,3,6,3,2,1,2,1,3.53,1212.84,0.18,1.08,0.66,3.08,0.07,0.32,5.96,5.46,4.83,6.27,0,0,15,15
47,2,Prop,unint,unrel,plur,The canoe by the well-worn trails,I,5,2,9,6,4,3,7,5,2,1,2,1,3.53,1212.84,0,1.78,0.66,3.08,0,0.44,4.17,3.75,3.42,5.44,0,0,12,13
48,6,Prop,unint,assoc,plur,The violin beside the pricey bows,I,6,6,6,4,7,6,6,4,3,2,2,1,4.76,14.96,0.63,1.45,0.76,1.2,0.21,0.39,4.92,4.83,5.08,5.44,2,2,11,12
48,4,Prop,unint,rel,plur,The violin beside the pricey strings,I,6,6,6,7,7,6,6,7,3,2,2,1,4.76,14.96,0.63,8.1,0.76,1.2,0.21,0.96,6.17,6.17,5,5,0,0,8,9
48,2,Prop,unint,unrel,plur,The violin beside the pricey bowls,I,6,6,6,5,7,6,6,4,3,2,2,1,4.76,14.96,0.63,2.02,0.76,1.2,0.21,0.48,1.17,1.42,2,5.19,1,1,15,15
